Trip ID,SURVEYZONE_START,SURVEYZONE_END,qGENDER,qINCOME,qRACECODE,qCARACCESS,qPurposeRecode,Day Grouping,Within Zone?,Income Group,Purpose Grouping,qSustainableMode
52,Northern Manhattan,Northern Manhattan,Female,"Less than 14,999",Hispanic,NO car,Personal errands,Weekday,within,low income,Others,Yes
53,Outer Queens,Outer Queens,Female,"Less than 14,999",Hispanic,NO car,Social/recreation,Weekday,within,low income,Social,Yes
54,Inner Queens,Inner Queens,Female,"Less than 14,999",Hispanic,NO car,Commute to/from work,Weekday,within,low income,Work/School,Yes
55,Southern Bronx,Manhattan Core,Female,"25,000− 34,999",Hispanic,NO car,Commute to/from work,Weekend,outside,low income,Work/School,Yes
56,Middle Queens,Manhattan Core,Female,"35,000− 49,999",White,NO car,Commute to/from work,Weekday,outside,low income,Work/School,Yes
57,Outer Queens,Outer Queens,Female,"50,000 -  74,999",Asian,own car,Shopping,Weekday,within,low income,Social,Yes
58,Manhattan Core,Outer Brooklyn,Male,"35,000− 49,999",Asian,own car,Commute to/from work,Weekday,outside,low income,Work/School,Yes
59,Northern Manhattan,Northern Manhattan,Female,"200,000 and above",White,NO car,Other,Weekend,within,high income,Others,Yes
60,Outer Brooklyn,Outer Brooklyn,Male,"100,000− 149,999",White,NO car,Other,Weekend,within,middle income,Others,Yes
61,Outer Brooklyn,Outer Brooklyn,Male,"50,000 -  74,999",Black,NO car,Dining,Weekday,within,low income,Social,Yes
62,Inner Brooklyn,Inner Brooklyn,Male,"35,000− 49,999",Hispanic,own car,Personal errands,Weekend,within,low income,Others,Yes
63,Northern Bronx,Northern Bronx,Male,"50,000 -  74,999",Hispanic,own car,Personal errands,Weekday,within,low income,Others,No
64,Outer Brooklyn,Outer Brooklyn,Male,"35,000− 49,999",White,NO car,Shopping,Weekend,within,low income,Social,Yes
65,Outer Queens,Northern Bronx,Male,"35,000− 49,999",Hispanic,own car,Shopping,Weekday,outside,low income,Social,Yes
66,Staten Island,Staten Island,Female,"15,000− 24,999",White,own car,Other,Weekday,within,low income,Others,Yes
67,Manhattan Core,Manhattan Core,Male,"Less than 14,999",Hispanic,NO car,Shopping,Weekday,within,low income,Social,Yes
68,Inner Queens,Manhattan Core,Female,"200,000 and above",Asian,NO car,Social/recreation,Weekend,outside,high income,Social,No
69,Manhattan Core,Manhattan Core,Male,"50,000 -  74,999",Asian,NO car,Commute to/from work,Weekday,within,low income,Work/School,Yes
70,Manhattan Core,Northern Manhattan,Female,"150,000− 199,999",White,NO car,Social/recreation,Weekday,outside,high income,Social,Yes
71,Staten Island,Manhattan Core,Female," 75,000 -  99,999",White,NO car,Commute to/from work,Weekday,outside,middle income,Work/School,Yes
72,Manhattan Core,Manhattan Core,Male,"100,000− 149,999",White,NO car,Shopping,Weekday,within,middle income,Social,Yes
73,Staten Island,Manhattan Core,Female,"100,000− 149,999",White,own car,Commute to/from work,Weekday,outside,middle income,Work/School,Yes
74,Inner Brooklyn,Inner Brooklyn,Male,"35,000− 49,999",Hispanic,NO car,School,Weekday,within,low income,Work/School,Yes
75,Manhattan Core,Manhattan Core,Male,"200,000 and above",White,own car,Shopping,Weekday,within,high income,Social,Yes
76,Manhattan Core,Manhattan Core,Male,"200,000 and above",White,own car,Commute to/from work,Weekday,within,high income,Work/School,Yes
77,Outer Queens,Manhattan Core,Female,"50,000 -  74,999",Hispanic,own car,Commute to/from work,Weekday,outside,low income,Work/School,Yes
78,Inner Brooklyn,Inner Brooklyn,Female,"15,000− 24,999",Other,NO car,Business,Weekday,within,low income,Work/School,Yes
79,Northern Manhattan,Manhattan Core,Female,"100,000− 149,999",White,NO car,Commute to/from work,Weekday,outside,middle income,Work/School,Yes
80,Northern Bronx,Manhattan Core,Female,"50,000 -  74,999",Black,own car,Commute to/from work,Weekday,outside,low income,Work/School,Yes
81,Northern Bronx,Northern Bronx,Male,"100,000− 149,999",White,own car,Shopping,Weekend,within,middle income,Social,No
82,Southern Bronx,Southern Bronx,Female,"15,000− 24,999",Hispanic,NO car,Commute to/from work,Weekday,within,low income,Work/School,Yes
83,Southern Bronx,Manhattan Core,Female,"50,000 -  74,999",Black,own car,Commute to/from work,Weekend,outside,low income,Work/School,No
84,Outer Queens,Inner Queens,Female,"25,000− 34,999",Black,NO car,Other,Weekday,outside,low income,Others,Yes
85,Middle Queens,Manhattan Core,Female,"35,000− 49,999",Hispanic,NO car,Commute to/from work,Weekday,outside,low income,Work/School,Yes
86,Southern Bronx,Southern Bronx,Female,"Less than 14,999",Black,own car,Shopping,Weekday,within,low income,Social,Yes
87,Manhattan Core,Manhattan Core,Male,"50,000 -  74,999",Hispanic,own car,Commute to/from work,Weekday,within,low income,Work/School,Yes
88,Manhattan Core,Manhattan Core,Female,"100,000− 149,999",Black,NO car,Shopping,Weekday,within,middle income,Social,Yes
89,Northern Bronx,Northern Bronx,Female,"Less than 14,999",Hispanic,NO car,Accompanying other traveler,Weekday,within,low income,Others,Yes
90,Manhattan Core,Manhattan Core,Female,"150,000− 199,999",White,NO car,Social/recreation,Weekday,within,high income,Social,Yes
91,Middle Queens,Outer Queens,Female,"Less than 14,999",Hispanic,NO car,School,Weekday,outside,low income,Work/School,Yes
92,Manhattan Core,Manhattan Core,Female,"25,000− 34,999",White,NO car,Shopping,Weekday,within,low income,Social,Yes
93,Manhattan Core,Manhattan Core,Male,"100,000− 149,999",White,own car,Business,Weekday,within,middle income,Work/School,No
94,Northern Manhattan,Manhattan Core,Male,"200,000 and above",White,own car,School,Weekday,outside,high income,Work/School,No
95,Inner Queens,Inner Queens,Male,"25,000− 34,999",Asian,NO car,Other,Weekday,within,low income,Others,No
96,Northern Bronx,Northern Bronx,Male,"50,000 -  74,999",White,own car,Shopping,Weekday,within,low income,Social,Yes
97,Northern Bronx,Manhattan Core,Female,"35,000− 49,999",Hispanic,NO car,School,Weekday,outside,low income,Work/School,Yes
98,Inner Queens,Manhattan Core,Female," 75,000 -  99,999",White,NO car,Commute to/from work,Weekday,outside,middle income,Work/School,Yes
99,Southern Bronx,Southern Bronx,Female,"25,000− 34,999",Hispanic,NO car,Other,Weekday,within,low income,Others,Yes
100,Manhattan Core,Manhattan Core,Female,"150,000− 199,999",White,own car,Commute to/from work,Weekday,within,high income,Work/School,Yes
101,Northern Manhattan,Inner Brooklyn,Male,"100,000− 149,999",Hispanic,NO car,Business,Weekday,outside,middle income,Work/School,Yes
102,Manhattan Core,Manhattan Core,Male,"200,000 and above",White,own car,Other,Weekday,within,high income,Others,Yes
103,Manhattan Core,Manhattan Core,Female," 75,000 -  99,999",White,NO car,Medical visit (doctor's office),Weekday,within,middle income,Others,Yes
104,Northern Manhattan,Northern Manhattan,Male,"50,000 -  74,999",Hispanic,NO car,Commute to/from work,Weekday,within,low income,Work/School,Yes
105,Outer Brooklyn,Outer Brooklyn,Female,"Less than 14,999",White,NO car,Commute to/from work,Weekday,within,low income,Work/School,Yes
106,Manhattan Core,Manhattan Core,Male,"Less than 14,999",Hispanic,NO car,Social/recreation,Weekend,within,low income,Social,Yes
107,Staten Island,Inner Brooklyn,Male,"100,000− 149,999",Hispanic,own car,Commute to/from work,Weekday,outside,middle income,Work/School,Yes
108,Northern Bronx,Northern Bronx,Female,"Less than 14,999",Hispanic,NO car,Other,Weekend,within,low income,Others,Yes
109,Outer Brooklyn,Manhattan Core,Female,"35,000− 49,999",Asian,own car,Commute to/from work,Weekday,outside,low income,Work/School,Yes
110,Northern Bronx,Northern Bronx,Male,"50,000 -  74,999",Hispanic,NO car,Social/recreation,Weekend,within,low income,Social,Yes
111,Inner Queens,Inner Queens,Male,"100,000− 149,999",White,NO car,Other,Weekday,within,middle income,Others,Yes
112,Inner Brooklyn,Inner Brooklyn,Female,"50,000 -  74,999",White,own car,Commute to/from work,Weekday,within,low income,Work/School,Yes
113,Southern Bronx,Southern Bronx,Female,"15,000− 24,999",Hispanic,own car,Shopping,Weekday,within,low income,Social,Yes
114,Manhattan Core,Manhattan Core,Female,"25,000− 34,999",Asian,NO car,Shopping,Weekday,within,low income,Social,Yes
115,Middle Queens,Middle Queens,Female,"100,000− 149,999",Hispanic,own car,Personal errands,Weekday,within,middle income,Others,Yes
116,Inner Queens,Manhattan Core,Female,"100,000− 149,999",White,own car,Commute to/from work,Weekday,outside,middle income,Work/School,Yes
117,Manhattan Core,Manhattan Core,Female,"50,000 -  74,999",Asian,NO car,Commute to/from work,Weekday,within,low income,Work/School,Yes
118,Manhattan Core,Staten Island,Male,"35,000− 49,999",Black,own car,Commute to/from work,Weekday,outside,low income,Work/School,No
119,Manhattan Core,Manhattan Core,Male," 75,000 -  99,999",White,NO car,Shopping,Weekday,within,middle income,Social,Yes
120,Inner Brooklyn,Manhattan Core,Female,"100,000− 149,999",White,own car,Commute to/from work,Weekday,outside,middle income,Work/School,Yes
121,Inner Queens,Outer Queens,Male," 75,000 -  99,999",White,NO car,Commute to/from work,Weekend,outside,middle income,Work/School,Yes
122,Outer Brooklyn,Outer Brooklyn,Male,"15,000− 24,999",Asian,NO car,Commute to/from work,Weekday,within,low income,Work/School,Yes
123,Inner Queens,Manhattan Core,Female,"15,000− 24,999",White,NO car,Other,Weekend,outside,low income,Others,No
124,Staten Island,Staten Island,Female,"Less than 14,999",Asian,own car,Social/recreation,Weekend,within,low income,Social,No
125,Inner Brooklyn,Inner Brooklyn,Male,"50,000 -  74,999",White,own car,Social/recreation,Weekday,within,low income,Social,No
126,Outer Brooklyn,Inner Brooklyn,Female,"50,000 -  74,999",Other,NO car,Commute to/from work,Weekday,outside,low income,Work/School,Yes
127,Northern Manhattan,Manhattan Core,Female," 75,000 -  99,999",Asian,own car,Commute to/from work,Weekday,outside,middle income,Work/School,Yes
128,Manhattan Core,Middle Queens,Male,"100,000− 149,999",Asian,own car,Commute to/from work,Weekday,outside,middle income,Work/School,Yes
129,Northern Bronx,Northern Bronx,Female,"25,000− 34,999",Hispanic,NO car,Commute to/from work,Weekday,within,low income,Work/School,Yes
130,Middle Queens,Middle Queens,Male,"100,000− 149,999",Hispanic,NO car,Dining,Weekday,within,middle income,Social,Yes
131,Southern Bronx,Manhattan Core,Male,"100,000− 149,999",Black,own car,Commute to/from work,Weekday,outside,middle income,Work/School,Yes
132,Middle Queens,Middle Queens,Male," 75,000 -  99,999",White,NO car,Business,Weekday,within,middle income,Work/School,Yes
133,Inner Queens,Inner Queens,Female,"50,000 -  74,999",Other,NO car,Commute to/from work,Weekday,within,low income,Work/School,Yes
134,Inner Brooklyn,Inner Brooklyn,Female,"50,000 -  74,999",White,NO car,Shopping,Weekend,within,low income,Social,Yes
135,Staten Island,Manhattan Core,Female,"15,000− 24,999",White,own car,Commute to/from work,Weekend,outside,low income,Work/School,Yes
136,Inner Brooklyn,Inner Brooklyn,Male,"200,000 and above",White,NO car,Personal errands,Weekend,within,high income,Others,Yes
137,Inner Queens,Inner Queens,Male,"35,000− 49,999",Hispanic,NO car,Commute to/from work,Weekday,within,low income,Work/School,Yes
138,Outer Queens,Outer Queens,Female,"Less than 14,999",Hispanic,NO car,Business,Weekday,within,low income,Work/School,Yes
139,Northern Bronx,Manhattan Core,Female," 75,000 -  99,999",White,NO car,Commute to/from work,Weekend,outside,middle income,Work/School,Yes
140,Inner Brooklyn,Inner Brooklyn,Male," 75,000 -  99,999",White,NO car,Commute to/from work,Weekday,within,middle income,Work/School,Yes
141,Manhattan Core,Staten Island,Female," 75,000 -  99,999",White,own car,Commute to/from work,Weekday,outside,middle income,Work/School,Yes
142,Inner Queens,Manhattan Core,Female,"15,000− 24,999",Hispanic,NO car,Commute to/from work,Weekend,outside,low income,Work/School,Yes
143,Northern Manhattan,Northern Manhattan,Female,"50,000 -  74,999",Asian,own car,Dining,Weekend,within,low income,Social,Yes
144,Outer Brooklyn,Manhattan Core,Female," 75,000 -  99,999",White,own car,Commute to/from work,Weekday,outside,middle income,Work/School,Yes
145,Southern Bronx,Southern Bronx,Female,"35,000− 49,999",White,NO car,Commute to/from work,Weekday,within,low income,Work/School,Yes
146,Staten Island,Staten Island,Male,"Less than 14,999",Hispanic,NO car,Commute to/from work,Weekday,within,low income,Work/School,Yes
147,Outer Queens,Inner Brooklyn,Female," 75,000 -  99,999",White,NO car,Social/recreation,Weekend,outside,middle income,Social,No
148,Inner Brooklyn,Inner Brooklyn,Male,"100,000− 149,999",White,own car,Commute to/from work,Weekday,within,middle income,Work/School,Yes
149,Outer Queens,Outer Queens,Male," 75,000 -  99,999",Hispanic,own car,Commute to/from work,Weekday,within,middle income,Work/School,Yes
150,Inner Brooklyn,Manhattan Core,Female,"50,000 -  74,999",Black,NO car,Commute to/from work,Weekday,outside,low income,Work/School,Yes
151,Manhattan Core,Manhattan Core,Female,"35,000− 49,999",White,NO car,Social/recreation,Weekend,within,low income,Social,Yes
152,Inner Brooklyn,Inner Brooklyn,Male,"100,000− 149,999",White,own car,Other,Weekday,within,middle income,Others,Yes
153,Manhattan Core,Manhattan Core,Male,"200,000 and above",White,own car,Business,Weekday,within,high income,Work/School,Yes
154,Northern Manhattan,Manhattan Core,Female,"25,000− 34,999",White,own car,Commute to/from work,Weekday,outside,low income,Work/School,Yes
155,Outer Queens,Inner Brooklyn,Female," 75,000 -  99,999",White,NO car,Business,Weekend,outside,middle income,Work/School,No
156,Staten Island,Manhattan Core,Male,"Less than 14,999",Hispanic,own car,Business,Weekday,outside,low income,Work/School,Yes
157,Staten Island,Staten Island,Female,"Less than 14,999",White,own car,Shopping,Weekday,within,low income,Social,No
158,Inner Queens,Inner Queens,Female,"100,000− 149,999",White,own car,Social/recreation,Weekday,within,middle income,Social,Yes
159,Southern Bronx,Southern Bronx,Male,"15,000− 24,999",Hispanic,NO car,Dining,Weekday,within,low income,Social,Yes
160,Manhattan Core,Manhattan Core,Male," 75,000 -  99,999",White,own car,Dining,Weekday,within,middle income,Social,No
161,Manhattan Core,Manhattan Core,Female,"50,000 -  74,999",Hispanic,own car,Shopping,Weekday,within,low income,Social,Yes
162,Manhattan Core,Manhattan Core,Male,"150,000− 199,999",White,NO car,Commute to/from work,Weekday,within,high income,Work/School,Yes
163,Middle Queens,Manhattan Core,Male,"100,000− 149,999",Asian,own car,Commute to/from work,Weekday,outside,middle income,Work/School,Yes
164,Outer Queens,Manhattan Core,Male,"35,000− 49,999",Hispanic,NO car,Commute to/from work,Weekend,outside,low income,Work/School,Yes
165,Outer Queens,Inner Queens,Male," 75,000 -  99,999",White,own car,Social/recreation,Weekday,outside,middle income,Social,Yes
166,Southern Bronx,Southern Bronx,Female,"Less than 14,999",Hispanic,NO car,Social/recreation,Weekend,within,low income,Social,Yes
167,Inner Brooklyn,Inner Brooklyn,Male,"100,000− 149,999",White,own car,Social/recreation,Weekday,within,middle income,Social,Yes
168,Manhattan Core,Middle Queens,Male,"100,000− 149,999",Asian,own car,Commute to/from work,Weekday,outside,middle income,Work/School,Yes
169,Outer Queens,Outer Queens,Female,"25,000− 34,999",Other,NO car,Social/recreation,Weekend,within,low income,Social,Yes
170,Outer Brooklyn,Outer Brooklyn,Male,"Less than 14,999",White,NO car,School,Weekday,within,low income,Work/School,Yes
171,Manhattan Core,Manhattan Core,Male,"Less than 14,999",Other,own car,Commute to/from work,Weekend,within,low income,Work/School,Yes
172,Manhattan Core,Manhattan Core,Male,"35,000− 49,999",Hispanic,NO car,Social/recreation,Weekday,within,low income,Social,Yes
173,Northern Bronx,Manhattan Core,Female,"35,000− 49,999",Hispanic,own car,Commute to/from work,Weekday,outside,low income,Work/School,Yes
174,Outer Queens,Outer Queens,Male," 75,000 -  99,999",White,own car,Commute to/from work,Weekday,within,middle income,Work/School,Yes
175,Outer Brooklyn,Outer Brooklyn,Male,"Less than 14,999",White,NO car,School,Weekday,within,low income,Work/School,Yes
176,Manhattan Core,Manhattan Core,Male,"Less than 14,999",Other,own car,Commute to/from work,Weekend,within,low income,Work/School,Yes
177,Inner Queens,Inner Queens,Female," 75,000 -  99,999",Hispanic,NO car,Social/recreation,Weekday,within,middle income,Social,Yes
178,Outer Brooklyn,Outer Brooklyn,Male,"Less than 14,999",White,NO car,Social/recreation,Weekday,within,low income,Social,Yes
179,Northern Bronx,Northern Bronx,Female,"25,000− 34,999",Hispanic,NO car,Commute to/from work,Weekday,within,low income,Work/School,Yes
180,Northern Manhattan,Northern Manhattan,Male,"100,000− 149,999",Hispanic,NO car,Dining,Weekday,within,middle income,Social,Yes
181,Northern Manhattan,Northern Bronx,Male,"200,000 and above",White,NO car,Social/recreation,Weekday,outside,high income,Social,Yes
182,Manhattan Core,Manhattan Core,Female,"100,000− 149,999",Black,own car,Commute to/from work,Weekday,within,middle income,Work/School,Yes
183,Inner Brooklyn,Outer Queens,Female,"100,000− 149,999",Hispanic,own car,Commute to/from work,Weekday,outside,middle income,Work/School,No
184,Inner Queens,Inner Queens,Female," 75,000 -  99,999",Hispanic,NO car,Commute to/from work,Weekday,within,middle income,Work/School,Yes
185,Inner Brooklyn,Inner Brooklyn,Male,"100,000− 149,999",White,own car,Other,Weekend,within,middle income,Others,Yes
186,Outer Brooklyn,Outer Brooklyn,Female,"15,000− 24,999",Black,NO car,Social/recreation,Weekend,within,low income,Social,Yes
187,Manhattan Core,Manhattan Core,Male,"100,000− 149,999",Hispanic,own car,Business,Weekday,within,middle income,Work/School,No
188,Manhattan Core,Manhattan Core,Male,"200,000 and above",White,NO car,Commute to/from work,Weekday,within,high income,Work/School,Yes
189,Northern Bronx,Northern Bronx,Male,"25,000− 34,999",White,own car,Shopping,Weekday,within,low income,Social,Yes
190,Manhattan Core,Inner Queens,Female,"100,000− 149,999",White,own car,Commute to/from work,Weekday,outside,middle income,Work/School,Yes
191,Manhattan Core,Manhattan Core,Female,"100,000− 149,999",Hispanic,own car,Commute to/from work,Weekday,within,middle income,Work/School,No
192,Outer Brooklyn,Outer Brooklyn,Male,"Less than 14,999",White,NO car,Social/recreation,Weekday,within,low income,Social,Yes
193,Northern Bronx,Northern Manhattan,Male,"200,000 and above",White,NO car,Social/recreation,Weekday,outside,high income,Social,Yes
194,Inner Brooklyn,Inner Brooklyn,Female,"35,000− 49,999",Other,NO car,Personal errands,Weekend,within,low income,Others,No
195,Manhattan Core,Manhattan Core,Female," 75,000 -  99,999",White,NO car,Shopping,Weekend,within,middle income,Social,Yes
196,Middle Queens,Manhattan Core,Female,"100,000− 149,999",Asian,NO car,Social/recreation,Weekend,outside,middle income,Social,Yes
197,Outer Queens,Outer Queens,Male,"Less than 14,999",Hispanic,own car,Dining,Weekday,within,low income,Social,Yes
198,Outer Brooklyn,Outer Brooklyn,Female," 75,000 -  99,999",Asian,own car,Accompanying other traveler,Weekday,within,middle income,Others,No
199,Northern Manhattan,Northern Manhattan,Male," 75,000 -  99,999",Hispanic,own car,Personal errands,Weekday,within,middle income,Others,Yes
200,Manhattan Core,Manhattan Core,Female,"150,000− 199,999",White,NO car,Commute to/from work,Weekday,within,high income,Work/School,Yes
201,Manhattan Core,Manhattan Core,Female," 75,000 -  99,999",White,NO car,Commute to/from work,Weekday,within,middle income,Work/School,Yes
202,Outer Brooklyn,Inner Brooklyn,Male,"200,000 and above",White,NO car,Commute to/from work,Weekday,outside,high income,Work/School,Yes
203,Southern Bronx,Southern Bronx,Female,"50,000 -  74,999",Hispanic,NO car,Commute to/from work,Weekend,within,low income,Work/School,Yes
204,Staten Island,Staten Island,Female,"150,000− 199,999",White,own car,Commute to/from work,Weekday,within,high income,Work/School,No
205,Manhattan Core,Manhattan Core,Male,"Less than 14,999",White,NO car,Shopping,Weekday,within,low income,Social,Yes
206,Northern Bronx,Northern Bronx,Female,"50,000 -  74,999",Black,NO car,Personal errands,Weekday,within,low income,Others,Yes
207,Staten Island,Inner Brooklyn,Female,"100,000− 149,999",White,own car,Commute to/from work,Weekday,outside,middle income,Work/School,No
208,Inner Queens,Manhattan Core,Male,"150,000− 199,999",White,NO car,Commute to/from work,Weekday,outside,high income,Work/School,Yes
209,Manhattan Core,Manhattan Core,Male,"Less than 14,999",White,NO car,Commute to/from work,Weekday,within,low income,Work/School,Yes
210,Manhattan Core,Manhattan Core,Male,"Less than 14,999",White,NO car,Social/recreation,Weekday,within,low income,Social,Yes
211,Manhattan Core,Manhattan Core,Female,"35,000− 49,999",White,NO car,Dining,Weekday,within,low income,Social,Yes
212,Manhattan Core,Manhattan Core,Female," 75,000 -  99,999",Asian,own car,Commute to/from work,Weekday,within,middle income,Work/School,Yes
213,Inner Brooklyn,Inner Brooklyn,Female,"50,000 -  74,999",White,own car,Commute to/from work,Weekend,within,low income,Work/School,Yes
214,Inner Brooklyn,Inner Brooklyn,Male,"50,000 -  74,999",Other,NO car,Commute to/from work,Weekend,within,low income,Work/School,Yes
215,Inner Queens,Inner Queens,Male,"Less than 14,999",Hispanic,NO car,Social/recreation,Weekend,within,low income,Social,Yes
216,Manhattan Core,Inner Brooklyn,Male,"200,000 and above",White,own car,Social/recreation,Weekday,outside,high income,Social,Yes
